# id	sprint	area	est	title
TF-1	0	infra	2	Toolchain: SDKMAN + Java 21, Maven, nvm + Node LTS, gh CLI
TF-2	0	infra	2	Repo na GitHubie, GitHub Projects board, konwencje branchy i commitów
TF-3	0	backend	3	Maven multi-module: parent POM + puste moduły serwisów
TF-4	0	infra	4	docker-compose.yml od zera: Postgres, Redis, RabbitMQ, MailHog
TF-5	0	devops	3	GitHub Actions: build + test na każdy push
TF-6	0	docs	2	README + ADR-0001/0002/0003
TF-7	1	backend	5	Model domenowy: Event, Venue, SeatMap, Section, Seat, EventSession
TF-8	1	backend	4	Flyway: migracje + dane seed (przykładowa sala z miejscami)
TF-9	1	backend	5	REST API: kontrolery, DTO, MapStruct, walidacja (Bean Validation)
TF-10	1	backend	3	Obsługa błędów: @RestControllerAdvice + RFC 7807 ProblemDetail
TF-11	1	backend	6	Testy: unit + @DataJpaTest + integracyjne na Testcontainers
TF-12	1	devops	3	Dockerfile (multi-stage) + wpięcie serwisu w compose
TF-49	2	infra	4	Serwer: VPS, klucze SSH, użytkownik non-root, firewall, automatyczne aktualizacje
TF-50	2	infra	4	docker-compose.prod.yml: różnice vs lokalny, limity pamięci JVM, restart policy
TF-51	2	infra	4	Domena + Caddy jako reverse proxy + HTTPS (Let's Encrypt)
TF-52	2	devops	4	GitHub Actions: automatyczny deploy na push do main
TF-53	2	devops	3	Sekrety: GitHub Secrets + .env na serwerze, zero sekretów w repo
TF-13	3	frontend	5	Angular CLI, struktura projektu, routing, standalone components
TF-14	3	frontend	4	HttpClient, serwisy, typowanie odpowiedzi API, obsługa błędów
TF-15	3	frontend	6	Widoki: lista wydarzeń + strona szczegółów
TF-16	3	frontend	6	Mapa sali w SVG: klikalne miejsca, stany wolne/zajęte/wybrane
TF-17	3	devops	3	Dockerfile z nginx + wpięcie w compose
TF-18	4	backend	5	identity-service: rejestracja, logowanie, hasła przez BCrypt
TF-19	4	backend	6	JWT: wystawianie, podpis, walidacja, refresh token
TF-20	4	backend	5	Spring Security: SecurityFilterChain, custom filtr, role
TF-21	4	backend	5	API Gateway (Spring Cloud Gateway): routing + walidacja tokenu
TF-22	4	frontend	5	Angular: HTTP interceptor, route guard, ekran logowania
TF-23	5	backend	4	Model rezerwacji + maszyna stanów (PENDING/CONFIRMED/EXPIRED/CANCELLED)
TF-24	5	backend	5	Blokada miejsca w Redis z TTL (SET NX EX)
TF-25	5	backend	5	Optimistic locking (@Version) + obsługa OptimisticLockException
TF-26	5	backend	5	Test współbieżności: 20 wątków walczy o 1 miejsce, dokładnie 1 wygrywa
TF-27	5	frontend	5	Angular: koszyk + timer odliczający do wygaśnięcia rezerwacji
TF-28	6	backend	4	Topologia Rabbita jako kod: exchange, queue, binding, routing keys
TF-29	6	backend	6	Wygasanie rezerwacji przez TTL + Dead Letter Exchange
TF-30	6	backend	5	notification-service: konsument zdarzeń, maile, MailHog, szablony
TF-31	6	backend	5	Retry z backoffem, DLQ, idempotencja konsumenta
TF-32	7	backend	5	Stripe test mode, PaymentIntent, klucze poza repo
TF-33	7	backend	6	Webhooki: weryfikacja podpisu, idempotencja, retry Stripe
TF-34	7	backend	7	Saga: rezerwacja -> płatność -> bilet, z kompensacją
TF-35	7	frontend	5	Angular: Stripe Elements, ekran płatności, obsługa 3D Secure
TF-36	7	backend	5	Generowanie biletu: PDF + kod QR
TF-37	8	infra	5	Keycloak w compose, realm jako kod (import JSON)
TF-38	8	backend	6	Migracja serwisów na OAuth2 Resource Server
TF-39	8	frontend	5	Angular + OIDC (Authorization Code + PKCE)
TF-40	8	backend	6	Role CUSTOMER/ORGANIZER/ADMIN + panel organizatora
TF-41	9	devops	5	Actuator + Prometheus + Grafana, dashboard z metrykami biznesowymi
TF-42	9	devops	5	Distributed tracing (Micrometer Tracing + Zipkin/Tempo)
TF-43	9	devops	4	Structured logging (JSON) + correlation ID przez wszystkie serwisy
TF-44	9	backend	5	Resilience4j: circuit breaker, retry, timeout między serwisami
TF-45	10	backend	6	WebSocket: live status miejsc na mapie sali
TF-46	10	frontend	6	Panel organizatora: tworzenie wydarzeń, podgląd sprzedaży
TF-47	10	frontend	5	Testy E2E (Playwright): pełna ścieżka zakupu
TF-48	10	docs	4	README z diagramami architektury, nagranie demo, deploy
TF-54	11	devops	4	Obrazy w GHCR zamiast budowania na serwerze
TF-55	11	devops	5	Deploy bez przestoju: health checki, rolling restart, rollback do poprzedniego tagu
TF-56	11	devops	4	Backup bazy: pg_dump + cron + test odtworzenia z backupu
TF-57	11	devops	4	Alerty produkcyjne: Grafana -> Discord/e-mail, budżet zasobów
TF-58	11	devops	4	Runbook + odtworzenie środowiska od zera na czystym serwerze
